iter	Passed	Remaining
708	35238	14463
709	35288	14413
710	35330	14360
711	35384	14312
712	35422	14258
713	35470	14207
714	35528	14161
715	35563	14106
716	35614	14056
717	35655	14003
718	35699	13952
719	35749	13902
720	35791	13849
721	35838	13799
722	35894	13752
723	35950	13704
724	35989	13651
725	36034	13599
726	36086	13550
727	36135	13501
728	36175	13448
729	36224	13398
730	36266	13345
731	36322	13298
732	36380	13251
733	36434	13203
734	36477	13151
735	36539	13106
736	36586	13056
737	36635	13005
738	36672	12952
739	36722	12902
740	36784	12857
741	36826	12804
742	36867	12752
743	36918	12703
744	36969	12653
745	37015	12603
746	37063	12552
747	37100	12499
748	37141	12446
749	37186	12395
750	37227	12343
751	37269	12291
752	37314	12239
753	37360	12189
754	37396	12135
755	37440	12083
756	37471	12028
757	37501	11972
758	37555	11924
759	37604	11874
760	37650	11824
761	37697	11774
762	37734	11720
763	37774	11668
764	37818	11617
765	37868	11568
766	37920	11519
767	37976	11471
768	38028	11423
769	38072	11372
770	38113	11320
771	38162	11270
772	38219	11223
773	38274	11175
774	38306	11121
775	38344	11068
776	38386	11016
777	38431	10966
778	38476	10915
779	38520	10864
780	38562	10813
781	38615	10764
782	38649	10711
783	38704	10663
784	38739	10610
785	38781	10558
786	38832	10509
787	38914	10469
788	38976	10423
789	39032	10375
790	39077	10325
791	39128	10276
792	39186	10229
793	39236	10179
794	39281	10129
795	39321	10077
796	39361	10025
797	39402	9974
798	39445	9923
799	39493	9873
800	39535	9822
801	39570	9769
802	39603	9715
803	39643	9664
804	39686	9613
805	39727	9562
806	39769	9511
807	39802	9457
808	39840	9405
809	39886	9356
810	39924	9304
811	39961	9252
812	40000	9200
813	40045	9150
814	40092	9100
815	40132	9049
816	40174	8998
817	40209	8946
818	40253	8896
819	40297	8845
820	40331	8793
821	40374	8742
822	40414	8691
823	40459	8641
824	40500	8591
825	40544	8540
826	40581	8489
827	40617	8437
828	40658	8386
829	40707	8337
830	40752	8287
831	40786	8235
832	40828	8185
833	40866	8134
834	40910	8084
835	40947	8032
836	40987	7982
837	41025	7930
838	41066	7880
839	41111	7830
840	41156	7781
841	41192	7729
842	41232	7679
843	41264	7627
844	41317	7578
845	41361	7529
846	41404	7479
847	41448	7429
848	41486	7378
849	41529	7328
850	41576	7279
851	41614	7228
852	41656	7178
853	41700	7129
854	41742	7079
855	41784	7029
856	41831	6980
857	41872	6929
858	41920	6880
859	41955	6829
860	41997	6780
861	42033	6729
862	42071	6678
863	42112	6628
864	42150	6578
865	42194	6528
866	42235	6479
867	42285	6430
868	42327	6380
869	42361	6329
870	42393	6278
871	42433	6228
872	42467	6177
873	42505	6127
874	42541	6077
875	42585	6028
876	42631	5979
877	42667	5928
878	42706	5878
879	42747	5829
880	42793	5780
